,Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
54,Tyler Heineman,35,0,Maj-AL,"Aug 9, 2026",Los Angeles,@,Miami,1,0,,,,1.0,2,1,1,0,0,1,0,9.0,,5,0,0,0,0,0,0,0,0,5,14,0.64,0.14,0.0,0.6,0.0,0.0,2.0,0.25,0.0,,623168
55,Edgardo Henriquez,24,0,Maj-NL,"Aug 9, 2026",Los Angeles,@,Arizona,1,0,,,,0.2,0,0,0,0,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,2,10,0.8,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,683618
56,Sam Hentges,29,0,Maj-NL,"Aug 9, 2026",San Francisco,,Detroit,1,0,,1.0,,0.1,2,2,1,0,0,0,0,27.0,,3,0,0,0,0,0,0,0,0,3,12,0.58,0.08,0.17,0.33,0.33,0.0,6.0,0.667,0.0,,656529
57,Jonathan Hern\xc3\xa1ndez,29,0,Maj-NL,"Aug 9, 2026",Los Angeles,@,Arizona,1,0,,,,2.0,0,0,0,0,1,0,0,0.0,,6,0,0,0,0,0,0,0,0,6,26,0.69,0.12,0.12,0.8,0.0,0.0,0.0,0.0,4.5,,642546
58,Tim Herrin,29,0,Maj-AL,"Aug 9, 2026",Cleveland,@,Chicago,1,0,,,,1.2,1,0,0,0,2,0,1,0.0,,4,1,0,0,0,0,0,1,0,5,24,0.58,0.13,0.17,0.5,0.5,0.0,0.6,0.5,10.8,,682120
59,Jordan Hicks,29,0,Maj-AL,"Aug 9, 2026",Chicago,,Cleveland,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,14,0.64,0.0,0.14,0.67,0.0,0.33,1.0,0.333,9.0,,663855
60,Yaramil Hiraldo,30,0,Maj-AL,"Aug 9, 2026",Baltimore,@,Texas,1,0,1.0,,,2.0,1,0,0,1,3,0,1,0.0,,7,0,0,0,0,0,0,0,0,9,32,0.59,0.16,0.13,0.0,0.25,0.25,1.0,0.25,13.5,3.0,682274
61,Colin Holderman,30,0,Maj-AL,"Aug 9, 2026",Cleveland,@,Chicago,1,0,,,,1.2,0,0,0,1,2,0,1,0.0,,5,0,0,0,0,0,0,0,0,7,26,0.54,0.19,0.08,0.33,0.0,0.0,0.6,0.0,10.8,2.0,670059
62,Grant Holmes,30,0,Maj-NL,"Aug 9, 2026",Atlanta,@,New York,1,1,,,,6.0,3,0,0,2,2,0,0,0.0,66,19,1,0,0,1,0,0,0,0,21,77,0.62,0.12,0.1,0.53,0.29,0.06,0.833,0.177,3.0,1.0,656550
63,Tyler Holton,30,0,Maj-AL,"Aug 9, 2026",Detroit,@,San Francisco,1,0,,,1.0,1.0,0,0,0,0,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,12,0.83,0.42,0.33,,,,0.0,,27.0,,663947
64,Alex Hoppe,27,0,Maj-AL,"Aug 9, 2026",Baltimore,@,Texas,1,0,,,,1.0,2,0,0,0,0,0,0,0.0,,5,0,0,0,0,0,0,0,0,5,14,0.71,0.21,0.07,0.8,0.2,0.0,2.0,0.4,0.0,,695380
65,Bryan Hudson,29,0,Maj-AL,"Aug 9, 2026",Chicago,,Cleveland,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,17,0.59,0.24,0.0,0.67,0.0,0.0,1.0,0.333,9.0,,663542
66,Kyle Hurt,28,0,Maj-NL,"Aug 9, 2026",Los Angeles,@,Arizona,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,9,0.67,0.11,0.22,0.0,0.0,0.0,0.0,0.0,9.0,,669165
67,Raisel Iglesias,36,0,Maj-NL,"Aug 9, 2026",Atlanta,@,New York,1,0,1.0,,,1.0,0,0,0,0,2,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,10,0.7,0.3,0.2,0.0,1.0,0.0,0.0,0.0,18.0,,628452
68,Kenley Jansen,38,0,Maj-AL,"Aug 9, 2026",Detroit,@,San Francisco,1,0,1.0,,,1.0,0,0,0,0,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,15,0.73,0.07,0.4,,,,0.0,,27.0,,445276
69,Cristian Javier,29,0,Maj-AL,"Aug 9, 2026",Houston,@,San Diego,1,1,,1.0,,5.0,8,4,4,1,2,2,0,7.2,36,23,0,0,0,0,0,0,0,0,24,86,0.72,0.19,0.05,0.14,0.29,0.0,1.8,0.316,3.6,2.0,664299
70,Jared Jones,24,0,Maj-NL,"Aug 9, 2026",Pittsburgh,,New York,1,1,,1.0,,3.0,6,8,8,3,3,1,2,24.0,15,14,0,1,0,0,1,0,0,0,20,69,0.64,0.07,0.13,0.25,0.33,0.08,3.0,0.455,9.0,1.0,683003
71,Orion Kerkering,25,0,Maj-NL,"Aug 9, 2026",Philadelphia,,Toronto,1,0,,,,1.0,4,3,3,0,0,0,0,27.0,,7,1,0,0,0,0,0,0,0,7,27,0.67,0.26,0.04,0.14,0.29,0.0,4.0,0.571,0.0,,689147
